Age,Gender,Education Level,Job Title,experience,Salary,test_score,interview_score
29,Male,Bachelor's,Junior Web Designer,3,45000,96,81
40,Female,Master's,Senior Training Specialist,12,100000,82,77
47,Male,PhD,Senior Research Scientist,22,160000,98,91
27,Male,Bachelor's,Junior Sales Representative,1,35000,74,86
39,Female,Bachelor's,Administrative Assistant,10,55000,88,87
46,Male,Master's,Senior Project Manager,19,140000,95,77
30,Female,Bachelor's,Junior Marketing Manager,4,50000,72,98
36,Male,Bachelor's,Junior Data Analyst,7,60000,91,88
43,Female,Master's,Senior Product Marketing Manager,14,120000,66,77
28,Male,Bachelor's,Junior Business Analyst,2,40000,81,67
41,Female,Master's,Senior Marketing Manager,13,110000,87,90
33,Male,Bachelor's,Junior Software Developer,5,50000,61,93
47,Male,Bachelor's,Senior Sales Manager,20,135000,65,66
25,Female,Master's,Junior Marketing Specialist,1.5,40000,87,95
34,Male,Bachelor's,Senior Business Analyst,8,90000,87,77
42,Female,PhD,Senior Data Scientist,16,150000,79,97
31,Male,Bachelor's,Junior Project Manager,4,60000,89,68
38,Female,Bachelor's,Senior Accountant,10,80000,70,68
45,Male,Master's,Director of Sales,19,175000,87,67
29,Female,Bachelor's,Junior Recruiter,3,45000,84,94
36,Male,Master's,Senior Business Development Manager,11,120000,98,77
43,Female,PhD,Senior Product Designer,18,140000,92,64
26,Male,Bachelor's,Junior Customer Support Specialist,2,35000,60,73
37,Female,Master's,Senior Marketing Analyst,9,95000,86,87
44,Male,Bachelor's,Senior IT Support Specialist,14,110000,72,89
32,Female,Bachelor's,Junior Financial Analyst,5,50000,100,63
33,Male,Master's,Senior Operations Manager,7,115000,62,98
51,Female,PhD,Director of Human Resources,23,185000,98,79
28,Male,Bachelor's,Junior Software Engineer,2,40000,65,84
39,Female,Bachelor's,Senior Sales Representative,12,90000,67,87
48,Male,Master's,Director of Product Management,21,175000,86,71
30,Female,Bachelor's,Junior Copywriter,3,45000,68,61
35,Male,Bachelor's,Senior Marketing Coordinator,7,80000,96,73
41,Female,Master's,Senior Human Resources Manager,13,120000,92,81
27,Male,Bachelor's,Junior Business Development Associate,1.5,35000,83,90
40,Female,Bachelor's,Senior Account Manager,14,110000,74,82
46,Male,PhD,Senior Researcher,18,150000,91,79
31,Female,Bachelor's,Junior HR Coordinator,4,50000,91,97
34,Male,Master's,Senior Software Engineer,9,105000,83,63
50,Female,Master's,Director of Finance,20,180000,100,74
29,Male,Bachelor's,Junior Marketing Coordinator,2,40000,71,83
,,,,,,98,84
43,Male,Bachelor's,Senior Project Manager,16,140000,61,60
26,Female,Master's,Junior Data Scientist,1.5,45000,62,66
35,Male,Bachelor's,Senior Operations Analyst,7,85000,96,90
42,Female,PhD,Senior Marketing Manager,18,140000,76,71
31,Male,Bachelor's,Junior Accountant,4,50000,61,64
38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,61,97
46,Male,Master's,Director of Operations,20,170000,87,71
29,Female,Bachelor's,Junior Sales Representative,2,40000,82,98
37,Male,Master's,Senior Business Analyst,9,105000,96,77
44,Female,PhD,Senior UX Designer,15,145000,91,61
27,Male,Bachelor's,Junior Product Manager,2,40000,92,69
36,Female,Bachelor's,Senior Marketing Specialist,8,85000,60,74
43,Male,Bachelor's,Senior IT Project Manager,14,130000,78,89
33,Female,Master's,Senior Financial Analyst,6,95000,61,76
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,85,63
50,Female,PhD,Director of Sales and Marketing,22,180000,91,66
28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,65,100
39,Female,Bachelor's,Senior Account Executive,12,95000,91,90
47,Male,Master's,Director of Business Development,19,170000,63,98
30,Female,Bachelor's,Junior Social Media Manager,3,45000,70,93
34,Male,Bachelor's,Senior Product Manager,7,95000,76,65
40,Female,Master's,Senior Human Resources Specialist,13,120000,97,97
28,Male,Bachelor's,Junior Business Analyst,2,40000,83,93
41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,64,74
45,Male,PhD,Senior Data Analyst,17,155000,93,73
32,Female,Bachelor's,Junior Account Manager,5,55000,65,65
35,Male,Master's,Senior Software Developer,9,110000,81,96
49,Female,Master's,Director of Human Capital,21,180000,70,91
30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,75,62
44,Male,Bachelor's,Senior Sales Manager,16,130000,92,62
27,Female,Master's,Junior UX Designer,1.5,45000,68,81
36,Male,Bachelor's,Senior Accountant,7,90000,65,81
41,Female,PhD,Senior Marketing Director,17,160000,75,69
31,Male,Bachelor's,Junior HR Generalist,4,50000,88,62
39,Female,Bachelor's,Senior Operations Manager,10,120000,62,71
47,Male,Master's,Director of Finance,20,170000,79,88
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,95,76
38,Male,Master's,Senior IT Consultant,9,110000,78,66
45,Female,PhD,Senior Product Designer,15,150000,85,72
28,Male,Bachelor's,Junior Business Development Associate,2,40000,62,61
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,78,63
44,Male,Bachelor's,Senior Software Engineer,14,130000,79,69
34,Female,Master's,Senior Financial Advisor,6,100000,91,98
35,Male,Bachelor's,Senior Project Coordinator,9,95000,66,83
50,Female,PhD,Director of Operations,22,180000,100,76
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,92,65
40,Female,Bachelor's,Senior Sales Representative,12,100000,99,78
48,Male,Master's,Director of Marketing,19,170000,98,64
31,Female,Bachelor's,Junior Social Media Specialist,3,45000,77,91
33,Male,Bachelor's,Senior Product Development Manager,7,100000,99,69
42,Female,Master's,Senior Human Resources Manager,13,140000,60,68
28,Male,Bachelor's,Junior Financial Analyst,2,40000,70,86
40,Female,Bachelor's,Senior Marketing Manager,11,105000,87,72
46,Male,PhD,Senior Data Scientist,18,160000,84,78
33,Female,Bachelor's,Junior Operations Manager,5,70000,82,80
37,Male,Master's,Senior Software Architect,9,120000,90,83
51,Female,Master's,Director of Human Resources,21,190000,89,97
30,Male,Bachelor's,Junior Marketing Specialist,3,45000,94,63
43,Male,Bachelor's,Senior Project Manager,15,120000,66,83
27,Female,Master's,Junior Research Scientist,1.5,50000,75,94
35,Male,Bachelor's,Senior Operations Analyst,8,85000,85,62
42,Female,PhD,Senior Marketing Manager,13,140000,61,63
32,Male,Bachelor's,Junior Sales Representative,3,45000,60,96
37,Female,Bachelor's,Senior Financial Analyst,9,100000,71,99
45,Male,Master's,Senior Software Developer,16,140000,64,94
33,Female,Bachelor's,Junior Operations Analyst,5,70000,96,90
39,Male,Bachelor's,Senior Marketing Specialist,10,120000,91,84
44,Female,PhD,Senior HR Manager,18,160000,68,99
29,Male,Bachelor's,Junior Business Analyst,1.5,40000,100,72
38,Female,Bachelor's,Senior Product Manager,10,120000,94,63
46,Male,PhD,Senior Data Analyst,19,150000,78,73
34,Female,Bachelor's,Junior Marketing Analyst,6,70000,75,72
36,Male,Bachelor's,Senior Operations Manager,8,95000,62,86
49,Female,Master's,Director of Marketing,21,180000,79,65
31,Male,Bachelor's,Junior Financial Analyst,3,50000,83,76
41,Female,Bachelor's,Senior Project Coordinator,11,95000,92,95
47,Male,Master's,Director of Operations,20,170000,83,99
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,70,94
38,Male,Master's,Senior IT Consultant,9,110000,67,76
45,Female,PhD,Senior Product Designer,15,150000,95,100
28,Male,Bachelor's,Junior Business Development Associate,2,40000,97,61
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,99,72
44,Male,Bachelor's,Senior Software Engineer,14,130000,79,61
34,Female,Master's,Senior Financial Advisor,6,100000,94,87
35,Male,Bachelor's,Senior Project Coordinator,9,95000,84,85
50,Female,PhD,Director of Operations,22,180000,94,81
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350,84,62
,,,,,,88,94
37,Female,Bachelor's,Senior Financial Manager,10,120000,77,71
46,Male,PhD,Senior Data Scientist,18,160000,77,83
31,Female,Bachelor's,Junior Marketing Coordinator,3,50000,61,64
42,Male,Bachelor's,Senior Operations Manager,12,110000,94,79
29,Female,Bachelor's,Junior Sales Representative,1.5,40000,75,98
36,Male,Bachelor's,Senior Marketing Specialist,8,95000,100,98
44,Female,Master's,Senior HR Specialist,15,140000,95,72
33,Male,Bachelor's,Junior Operations Manager,4,60000,92,100
39,Female,Bachelor's,Senior Marketing Coordinator,9,110000,63,71
45,Male,PhD,Senior Data Engineer,16,150000,92,72
32,Female,Bachelor's,Junior Marketing Manager,4,60000,73,69
37,Male,Bachelor's,Senior Financial Analyst,8,90000,80,92
47,Female,Master's,Director of Marketing,20,180000,79,99
30,Male,Bachelor's,Junior Business Analyst,2,40000,67,75
38,Female,Bachelor's,Senior Project Manager,9,120000,66,94
46,Male,PhD,Senior Data Analyst,17,160000,62,62
34,Female,Bachelor's,Junior Financial Analyst,5,70000,76,64
36,Male,Bachelor's,Senior Product Manager,8,95000,92,85
49,Female,Master's,Director of Operations,21,180000,71,70
31,Male,Bachelor's,Junior Operations Analyst,3,50000,81,66
41,Female,Bachelor's,Senior Project Coordinator,11,95000,81,69
47,Male,Master's,Director of Marketing,19,170000,89,93
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,97,62
35,Male,Bachelor's,Senior Financial Manager,9,100000,97,67
44,Female,PhD,Senior Product Designer,15,150000,67,90
33,Male,Bachelor's,Junior Business Analyst,4,60000,86,70
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,86,66
44,Male,Bachelor's,Senior Software Engineer,13,130000,93,61
32,Male,Bachelor's,Junior Product Manager,4,65000,80,65
38,Female,Bachelor's,Senior Business Analyst,10,110000,89,100
49,Male,PhD,Director of Operations,21,180000,92,91
29,Female,Bachelor's,Junior Marketing Specialist,2,40000,87,79
35,Male,Bachelor's,Senior Business Development Manager,7,90000,92,93
45,Female,Master's,Senior HR Manager,14,140000,64,75
33,Male,Bachelor's,Junior Financial Analyst,4,60000,78,84
40,Female,Bachelor's,Senior Marketing Manager,12,130000,63,71
44,Male,PhD,Senior Data Scientist,16,160000,94,66
30,Female,Bachelor's,Junior Operations Coordinator,2,40000,76,98
37,Male,Bachelor's,Senior Marketing Analyst,9,100000,87,76
48,Female,Master's,Director of HR,20,180000,89,70
31,Male,Bachelor's,Junior Project Manager,3,55000,88,65
38,Female,Bachelor's,Senior Operations Coordinator,9,120000,65,82
45,Male,PhD,Senior Data Engineer,16,150000,94,86
33,Female,Bachelor's,Junior Marketing Manager,5,70000,100,65
36,Male,Bachelor's,Senior Business Analyst,8,95000,96,97
49,Female,Master's,Director of Marketing,21,180000,83,61
31,Male,Bachelor's,Junior Operations Analyst,3,50000,88,81
42,Female,Bachelor's,Senior Project Manager,12,120000,90,79
47,Male,Master's,Director of Marketing,19,170000,94,84
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,92,74
35,Male,Bachelor's,Senior Financial Manager,9,100000,80,88
44,Female,PhD,Senior Product Designer,15,150000,91,67
33,Male,Bachelor's,Junior Business Analyst,4,60000,82,96
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,92,92
44,Male,Bachelor's,Senior Software Engineer,13,130000,62,81
34,Female,Master's,Senior Financial Advisor,6,80000,77,64
36,Male,Bachelor's,Senior Marketing Specialist,8,95000,84,98
30,Female,Bachelor's,Junior HR Coordinator,2,40000,90,77
37,Male,Bachelor's,Senior Business Development Manager,10,120000,62,97
45,Female,Master's,Senior Marketing Manager,16,160000,99,96
32,Male,Bachelor's,Junior Financial Advisor,4,65000,83,89
39,Female,Bachelor's,Senior Project Manager,12,130000,91,90
47,Male,PhD,Director of Engineering,20,180000,81,69
29,Female,Bachelor's,Junior Marketing Analyst,2,40000,82,74
36,Male,Bachelor's,Senior Operations Manager,9,100000,61,77
43,Female,PhD,Senior Data Scientist,15,150000,86,82
32,Male,Bachelor's,Junior Marketing Coordinator,3,55000,61,92
38,Female,Bachelor's,Senior Business Analyst,10,110000,85,75
48,Male,Master's,Director of Marketing,21,180000,76,97
31,Female,Bachelor's,Junior Business Development Associate,3,50000,99,94
40,Male,Bachelor's,Senior Financial Analyst,12,130000,92,93
45,Female,PhD,Senior UX Designer,16,160000,68,87
33,Male,Bachelor's,Junior Product Manager,4,60000,98,61
36,Female,Bachelor's,Senior Marketing Manager,8,95000,88,89
47,Male,Master's,Director of Operations,19,170000,85,72
29,Female,Bachelor's,Junior Project Manager,2,40000,94,100
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,84,75
44,Female,PhD,Senior Business Analyst,15,150000,83,64
33,Male,Bachelor's,Junior Marketing Specialist,5,70000,72,87
35,Female,Bachelor's,Senior Financial Manager,8,90000,66,98
43,Male,Master's,Director of Marketing,18,170000,95,79
31,Female,Bachelor's,Junior Financial Analyst,3,50000,79,83
41,Male,Bachelor's,Senior Product Manager,14,150000,60,86
44,Female,PhD,Senior Data Engineer,16,160000,67,89
33,Male,Bachelor's,Junior Business Analyst,4,60000,75,86
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,73,85
45,Male,Master's,Director of Engineering,19,180000,71,66
28,Female,Bachelor's,Junior Operations Manager,1,35000,82,97
36,Male,Bachelor's,Senior Business Development Manager,8,110000,74,64
44,Female,PhD,Senior Data Scientist,16,160000,87,82
31,Male,Bachelor's,Junior Marketing Coordinator,3,55000,93,87
38,Female,Bachelor's,Senior Business Analyst,10,110000,61,93
48,Male,Master's,Director of Marketing,21,180000,91,74
31,Female,Bachelor's,Junior Business Development Associate,3,50000,82,91
40,Male,Bachelor's,Senior Financial Analyst,12,130000,81,85
45,Female,PhD,Senior UX Designer,16,160000,84,90
33,Male,Bachelor's,Junior Product Manager,4,60000,81,78
36,Female,Bachelor's,Senior Marketing Manager,8,95000,81,68
47,Male,Master's,Director of Operations,19,170000,65,88
29,Female,Bachelor's,Junior Project Manager,2,40000,74,98
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,96,63
44,Female,PhD,Senior Business Analyst,15,150000,92,62
33,Male,Bachelor's,Junior Marketing Specialist,5,70000,67,88
35,Female,Bachelor's,Senior Financial Manager,8,90000,64,70
43,Male,Master's,Director of Marketing,18,170000,98,92
31,Female,Bachelor's,Junior Financial Analyst,3,50000,63,97
41,Male,Bachelor's,Senior Product Manager,14,150000,65,70
44,Female,PhD,Senior Data Engineer,16,160000,91,86
33,Male,Bachelor's,Junior Business Analyst,4,60000,89,92
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,94,80
43,Male,Master's,Director of Operations,19,170000,99,98
29,Female,Bachelor's,Junior Project Manager,2,40000,75,90
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,72,97
44,Female,PhD,Senior Business Analyst,15,150000,89,61
31,Male,Master's,Data Scientist,6,160000,78,86
28,Female,Bachelor's,Software Engineer,3,125000,76,95
26,Male,Master's,Product Manager,2,120000,78,70
27,Female,Bachelor's,Data Analyst,2,110000,87,77
30,Male,PhD,Data Scientist,5,180000,85,60
29,Female,Bachelor's,Software Engineer,4,140000,96,94
32,Male,Bachelor's,Product Manager,7,170000,85,94
25,Female,Master's,Data Analyst,1,100000,82,90
33,Male,PhD,Data Scientist,8,190000,68,87
31,Female,Bachelor's,Software Engineer,6,155000,71,98
28,Male,Master's,Product Manager,3,130000,60,60
30,Female,Bachelor's,Data Analyst,5,145000,60,84
27,Male,PhD,Data Scientist,2,115000,93,97
29,Female,Bachelor's,Software Engineer,4,140000,91,79
34,Male,Bachelor's,Product Manager,9,185000,84,62
25,Female,Master's,Data Analyst,1,100000,99,61
33,Male,PhD,Data Scientist,8,190000,60,77
31,Female,Bachelor's,Software Engineer,6,155000,75,69
28,Male,Master's,Product Manager,3,130000,98,64
30,Female,Bachelor's,Data Analyst,5,145000,64,68
28,Male,Bachelor's,Software Engineer,3,125000,81,61
26,Female,Master's,Product Manager,2,120000,88,93
27,Male,Bachelor's,Data Analyst,2,110000,62,97
30,Female,PhD,Data Scientist,5,180000,71,90
29,Male,Bachelor's,Software Engineer,4,140000,85,69
32,Male,Bachelor's,Product Manager,7,170000,75,71
25,Female,Master's,Data Analyst,1,100000,96,95
33,Male,PhD,Data Scientist,8,190000,81,80
31,Female,Bachelor's,Software Engineer,6,155000,88,65
28,Male,Master's,Product Manager,3,130000,73,62
30,Female,Bachelor's,Data Analyst,5,145000,87,69
27,Male,PhD,Data Scientist,2,115000,64,64
29,Female,Bachelor's,Software Engineer,4,140000,89,85
34,Male,Bachelor's,Product Manager,9,185000,64,80
25,Female,Master's,Data Analyst,1,100000,71,85
33,Male,PhD,Data Scientist,8,190000,75,97
31,Female,Bachelor's,Software Engineer,6,155000,85,85
28,Male,Master's,Product Manager,3,130000,85,67
30,Female,Bachelor's,Data Analyst,5,145000,80,64
28,Male,Bachelor's,Software Engineer,3,125000,98,74
26,Female,Master's,Product Manager,2,120000,95,75
27,Male,Bachelor's,Data Analyst,2,110000,92,60
30,Female,PhD,Data Scientist,5,180000,89,75
29,Male,Bachelor's,Software Engineer,4,140000,96,96
32,Male,Bachelor's,Product Manager,7,170000,82,62
25,Female,Master's,Data Analyst,1,100000,69,90
33,Male,PhD,Data Scientist,8,190000,64,72
31,Female,Bachelor's,Software Engineer,6,155000,95,75
28,Male,Master's,Product Manager,3,130000,93,80
30,Female,Bachelor's,Data Analyst,5,145000,90,61
27,Male,PhD,Data Scientist,2,115000,69,86
29,Female,Bachelor's,Software Engineer,4,140000,78,97
34,Male,Bachelor's,Product Manager,9,185000,91,85
25,Female,Master's,Data Analyst,1,100000,60,97
33,Male,PhD,Data Scientist,8,190000,64,84
31,Female,Bachelor's,Software Engineer,6,155000,63,70
28,Male,Master's,Product Manager,3,130000,75,67
30,Female,Bachelor's,Data Analyst,5,145000,83,67
28,Male,Bachelor's,Software Engineer,3,125000,75,92
26,Female,Master's,Product Manager,2,120000,61,66
27,Male,Bachelor's,Data Analyst,2,110000,87,97
30,Female,PhD,Data Scientist,5,180000,91,80
29,Male,Bachelor's,Software Engineer,4,140000,86,67
32,Male,Bachelor's,Product Manager,7,170000,79,80
25,Female,Master's,Data Analyst,1,100000,83,79
33,Male,PhD,Data Scientist,8,190000,71,67
31,Female,Bachelor's,Software Engineer,6,155000,94,90
28,Male,Master's,Product Manager,3,130000,92,88
30,Female,Bachelor's,Data Analyst,5,145000,92,68
27,Male,PhD,Data Scientist,2,115000,96,74
29,Female,Bachelor's,Software Engineer,4,140000,71,89
34,Male,Bachelor's,Product Manager,9,185000,62,85
25,Female,Master's,Data Analyst,1,100000,60,69
33,Male,PhD,Data Scientist,8,190000,92,88
31,Female,Bachelor's,Software Engineer,6,155000,99,75
28,Male,Master's,Product Manager,3,130000,69,95
30,Female,Bachelor's,Data Analyst,5,145000,88,79
27,Male,PhD,Data Scientist,2,115000,72,96
29,Female,Bachelor's,Software Engineer,4,140000,71,81
34,Male,Bachelor's,Product Manager,9,185000,90,66
25,Female,Master's,Data Analyst,1,100000,61,82
33,Male,PhD,Data Scientist,8,190000,94,100
31,Female,Bachelor's,Software Engineer,6,155000,82,99
28,Male,Master's,Product Manager,3,130000,76,88
30,Female,Bachelor's,Data Analyst,5,145000,85,75
28,Male,Bachelor's,Software Engineer,3,125000,67,97
26,Female,Master's,Product Manager,2,120000,88,87
27,Male,Bachelor's,Data Analyst,2,110000,85,97
30,Female,PhD,Data Scientist,5,180000,69,90
29,Male,Bachelor's,Software Engineer,4,140000,85,73
32,Male,Bachelor's,Product Manager,7,170000,93,92
25,Female,Master's,Data Analyst,1,100000,100,68
33,Male,PhD,Data Scientist,8,190000,66,86
31,Female,Bachelor's,Software Engineer,6,155000,63,83
28,Male,Master's,Product Manager,3,130000,70,72
30,Female,Bachelor's,Data Analyst,5,145000,88,85
27,Male,PhD,Data Scientist,2,115000,95,88
29,Female,Bachelor's,Software Engineer,4,140000,84,87
34,Male,Bachelor's,Product Manager,9,185000,80,87
25,Female,Master's,Data Analyst,1,100000,95,67
33,Male,PhD,Data Scientist,8,190000,69,82
31,Female,Bachelor's,Software Engineer,6,155000,96,88
28,Male,Master's,Product Manager,3,130000,68,64
30,Female,Bachelor's,Data Analyst,5,145000,83,66
27,Male,PhD,Data Scientist,2,115000,94,95
29,Female,Bachelor's,Software Engineer,4,140000,94,100
34,Male,Bachelor's,Product Manager,9,185000,95,86
25,Female,Master's,Data Analyst,1,100000,77,61
33,Male,PhD,Data Scientist,8,190000,98,84
31,Female,Bachelor's,Software Engineer,6,155000,91,68
28,Male,Master's,Product Manager,3,130000,83,86
30,Female,Bachelor's,Data Analyst,5,145000,82,60
27,Male,PhD,Data Scientist,2,115000,91,82
